name;country;facebook_url;instagram_url;twitter_url;website_url;wiki_url;bio;photo
Alice Cooper;;;;;;;;
Nick Cave and the Bad Seeds;;;;;;;;
Linkin Park;;;;;;;;
Fugees;;;;;;;;
Echo and the Bunnymena;;;;;;;;
Mercury Rev;;;;;;;;
Amy Winehouse;;;;;;;;
Elvis Costello and The Attractions;;;;;;;;
LCD Soundsystem;;;;;;;;
The Pretenders;;;;;;;;
Cheap Trick;;;;;;;;
Interpol;;;;;;;;
Run-DMC;;;;;;;;
Gang of Four;;;;;;;;
Tricky;;;;;;;;
Siouxsie and the Banshees;;;;;;;;
Red Hot Chili Peppers;;;;;;;;
Fat Boy Slim;;;;;;;;
Marianne Faithfull;;;;;;;;
The Cramps;;;;;;;;
Jay Z;;;;;;;;
XTC;;;;;;;;
U2;;;;;;;;
The Killers;;;;;;;;
The Prodigy;;;;;;;;
Peter Gabriel;;;;;;;;
Gorillaz;;;;;;;;
Devo;;;;;;;;
MC 5;;;;;;;;
The Flying Burrito Brothers;;;;;;;;
The Modern Lovers;;;;;;;;
Rod Stewart;;;;;;;;
Supergrass;;;;;;;;
Bloc Party;;;;;;;;
Simple Minds;;;;;;;;
Jethro Tull;;;;;;;;
Lynyrd Skynyrd;;;;;;;;
A Tribe Called Quest;;;;;;;;
Dire Straits;;;;;;;;
The Beatles;;;;;;;;
Radiohead;;;;;;;;
Snoop Doggy Dogg;;;;;;;;
Bo Diddley;;;;;;;;
Creedence Clearwater Revival;;;;;;;;
System of a Down;;;;;;;;
Phil Spector;;;;;;;;
The Yardbirds;;;;;;;;
Eric Clapton;;;;;;;;
The Stooges;;;;;;;;
The Velvet Underground;;;;;;;;
The Meters;;;;;;;;
ZZ Top;;;;;;;;
Blind Faith;;;;;;;;
Steely Dan;;;;;;;;
David Bowie;;;;;;;;
Grateful Dead;;;;;;;;
Supertramp;;;;;;;;
The Clash;;;;;;;;
The Human League;;;;;;;;
The XX;;;;;;;;
Syd Barrett;;;;;;;;
Metallica;;;;;;;;
Buffalo Springfield;;;;;;;;
Sparks;;;;;;;;
Ryan Adams;;;;;;;;
The Crickets;;;;;;;;
Wire;;;;;;;;
Lou Reed;;;;;;;;
Dexys Midnight Runners;;;;;;;;
2Pac;;;;;;;;
Bon Jovi;;;;;;;;
Ike and Tina Turner;;;;;;;;
The Pogues;;;;;;;;
Lauryn Hill;;;;;;;;
Hole;;;;;;;;
Moby;;;;;;;;
David Bowie;;;;;;;;
Crowded House;;;;;;;;
Happy Mondays;;;;;;;;
Bruce Springsteen;;;;;;;;
Grandmaster Flash & the Furious Five;;;;;;;;
Big Brother and the Holding Company;;;;;;;;
Cat Stevens;;;;;;;;
Al Green;;;;;;;;
Parliament;;;;;;;;
Def Leppard;;;;;;;;
Bob Dylan;;;;;;;;
The Offspring;;;;;;;;
The Pretty Things;;;;;;;;
The Jimi Hendrix Experience;;;;;;;;
The La's;;;;;;;;
Nirvana;;;;;;;;
The Notorious B.I.G.;;;;;;;;
Suede;;;;;;;;
Wings;;;;;;;;
Soft Machine;;;;;;;;
The Who;;;;;;;;
Marilyn Manson;;;;;;;;
Curtis Mayfield;;;;;;;;
Manic Street Preachers;;;;;;;;
The Jesus and Mary Chain;;;;;;;;
Nine Inch Nails;;;;;;;;
James Taylor;;;;;;;;
The Replacements;;;;;;;;
New Order;;;;;;;;
Alice in Chains;;;;;;;;
The Jam;;;;;;;;
Kiss;;;;;;;;
Tim Buckley;;;;;;;;
Talk Talk;;;;;;;;
Megadeth;;;;;;;;
Morrissey;;;;;;;;
Stevie Ray Vaughan;;;;;;;;
Frank Ocean;;;;;;;;
Pavement;;;;;;;;
